emotion,prompt,response
sad,Do you watch Orange is the New Black? I was sad when I saw it.,"I haven't seen it, but I know a lot of people like it.  Sounds good, were you said throughout the series or because of an ending? I appreciate that! I wish I had watched it so you could talk more about it. "
sad,The vet told me my cat only has a few weeks left to live.,Thats so terrible! :( Im really sorry... you should do something special everyday and make memories!  It really doesnt.. i had to put my dog to sleep and it was extremely painful. I really hope that he can rest without pain and that you can feel better soon.. 
sad,The anniversaries for my Daddy and my sisters passings are coming up this month.,"Sorry to hear.  Will you be planning anything special? If you have other family member around you, ask around and get everyone involved.  It should be nice."
sad,I got some bad news yesterday...my grandmother was admitted to the hospital for cancer.,Sorry for the bad news. I know she will make it.
sad,My hamster died yesterday. I am so distraught!,"oh no! I bet your so sad right now. im sorry for your loss I know it can be upsetting and sad, but take your time. It will be ok. "
sad,ive been losing a lot of weight but i gained a bit this summer.,I am sorry to hear that.Following a diet is very stresffull. You probably need to get more motivated.
sad,My dog died 5 minutes ago. I am so distraught.,"That is a real bummer. Maybe you should take some time to reflect on their life. Yeah, no need to talk to me about it right now. Think about all the good times you had together."
sad,Life doesn't always turn out how you expect it to be. ,"I understand.  Tell me about it. Yes, one day at a time."
sad,I cant stop thinking about my grandmother. She passed away recently and it hurts to think about.,I'm sorry to hear that. I lost mine recently also. That must be hard. 
sad,I am upset Brian Lawyer died.,"Oh that's horrible. Who's Brian Lawyer? I've never heard of him, but that sucks. How'd he die? Oh wow that's horrible."
afraid,My neighbor is a drug addict. I hear him talking alone and I see him having weird behavior.,"Well, you should call 911. He might be dangerous anytime for the people in the surroundings you ought to be careful"
afraid,Last year my friends made me go to a haunted house and they all laughed at me afterwards,"Oh boy, did you embarrass yourself by getting real scared? That's something that's easy to laugh about after the fact but I bet you were running for your life when it happened! Haha"
afraid,I was always so afraid to go to sleep when I was a little kid...Always thought there were spooky monsters under the bed.,I think some kids go through that. Did your parents comfort you? Oh no. Did you get much sleep as a kid at all?
afraid,They always come out at night,There are so many things that come out at night. What are you referring to? They come out in the daytime too. It's just that they are scarier at night.
afraid,I woke last night with noises at the window.,Scary! Did you figure out what it was? Wow I'm glad it wasn't something scary lol
afraid,My fiance found a snake in our yard the other day! It was terrifying!,"Wow, that is scary. Did you guys do anything or just stay away from it? Yes, I'd be very concerned about pets, too.  I'm glad your fiance got it before it caused anyone anymore trouble."
afraid,Our home was broken into recently.,Oh no! Were you home when it happened? I'm so glad you weren't there but I still hate to hear it. Did they take anything valuable?
afraid,I am worried that my neighbor is starving his dogs.,"That's no good. Are you going to report him to the police? Yeah, mentally ill people shouldn't even be allowed to have dogs. There should be a screening process."
afraid,I was so scared.  I was at a graveyard in the dark with my drunk boyfriend.,"Oh no, how did you end up in that situation. Haha, that's awesome, at least you two made it out of it safely."
angry,So the other day while parked on the street someone hit my car and drove away!,"Oh no, that's messed up! Hopefully your insurance will help out."
angry,I think me and my ex are broken up for good.,"I see, is that a good thing or bad thing for you? Sorry to hear that. Well yeah, maybe it's for the best"
angry,I ordered a package and had to stay home to sign for it and the mailman drove past my house and didn't deliver it.,"Wow, did he forget your address? Wow, that is really nice"
angry,I am upset that my partner has put me through so much..and now going through more while he is away and trying to get treatment.,What are they getting treatment for I hope you guys get through it Just say some prayers and be positive
angry,I'm pretty upset I got a flat on the way to work today.,oh no! that is horrible and those things always seem to happen when on your way to work or somewhere important wow that is a really expensive tire!!
angry,The other day my cat vomited on my best shoes and it really made me mad.,"Wow, that cat must have loved that shoe, he wanted it That is true, especially when you don't give them attention"
angry,I was supposed to close on my house this weekend_comma_ but the people are refusing to move out!,"Wow that is odd, is there nothing you can do about it? That is insane, i hope everything works out!"
