emotion,prompt
sad,That sucks.  I hate when friends move away.  Are you really good friends with them?
sad,Oh that is unfortunate_comma_ maybe next time
sad,Oh man! I am so sorry! You must be devastated.
sad,What's got you feeling down?
sad,Summer is almost over. I can't take it!
sad,my grandma has major back surgery next week_comma_ i feel so bad for her
sad,I'm so sorry! It's always sad losing a friend. 
sad,Dang_comma_ don't you hate when that happens. What did he promise you this time?
sad,I hope so. Nice chatting with you.
sad,I know how that can be such a struggle.  How long has it been and why did it end?
afraid,I'm a Millenial and I KNOW we can do better.  
afraid,Maybe a career in astro-physics is in your future?
afraid,You seem very smart;0
afraid,cause there were werewolves out there
afraid,I can't imagine my house on fire. That's I got home insurance!
afraid,Just kidding. There is some products that you can use to avoid those bad experience.
afraid,I am a bit freaked out at the moment.
afraid,Oh gosh I bet! It's so hard to watch them grow up!
afraid,That sounds exciting!  Are you nervous about it?
afraid,DEfinitely. It's an adrenalin rush
angry,My coworker told my boss that I came in to work 15 minutes late this morning. I couldn't believe he did that to me!
angry,He is immature and upset because I'm done.
angry,I dont know how to_comma_ Im not really a confrontational person. What do you suggest?
angry,nah_comma_ a clean escape
angry,My dog pooped on the rug today.
angry,Yeah_comma_ and it can stain. I drop my coffee more often than I am willing to admit.
angry,What did you do?
angry,Hopefully this type of situation doesn't happen again. That really is disappointing how the system doesn't protect the employees about that type of situation.
angry,That sounds horrible. Are you trying to motivate them?
angry,Did you call the police?
disappointed,I can't believe they cut me from that team.
disappointed,Wow_comma_ I hope you guys get better if you already haven't.  That's really a bummer to miss out on a family vacation!
disappointed,You should_comma_ my Ipad has great charge time.
disappointed,That is bad. Did you already made reservation and purchase airline tickets?
disappointed,Yeah it was really disappointing! 
disappointed,Hate when that happens...if it happens more than once you can file a complaint with the city council
disappointed,My husband is going to build a fence around it and I'm going to take better care and study more about the plants.
disappointed,I haven't tried that one yet  I will now.  I love blueberries.. and I like chex.
disappointed,I am sorry bout you being cut though.  Keep on training..
disappointed,I would be equally as angry. I think I would've put them up for adoption.
embarrassed,Thank You_comma_ the worst part is that I was wrongfully convicted.
embarrassed,You are right. Sometimes I want to be invisible. I wish we would all just get along.
embarrassed,I tripped today while walking up the stairs and I know everyone behind me saw me.
embarrassed,That is horrible. Just think it could have been worse. You could have wrecked and totaled a car or a house burnt. Lots of things are worse.
embarrassed,I locked my car keys in the car in front of a lot of people.  everyone saw that i did that.  I was blushing
embarrassed,Did you trip on something_comma_ or injure yourself?
embarrassed,I hsd left my purse in the mens bathroom. The womens was to crowded and I had to go.
embarrassed,That is terrible_comma_ is it someone you like? or did you not even know her?  I don't know which is worse.
embarrassed,I was using the bathroom on a train in rome. I didnt lock the door properly and a woman walked in on me. She laughed.
embarrassed,What did you say to them?
lonely,Why not? Whats going on? 
lonely,That's always a nice alternative_comma_ could be worse.
lonely,You must have felt very lonely.
lonely,No it doesn't_comma_ but I'm really questioning how much they really like me. It was an awful day.
lonely,Oh I'm sorry to hear that_comma_ is that far from where you live now?
lonely,You could also got out foe a while and do something fun.
lonely,I can imagine that. I've never lived alone before.
lonely,I'm really sorry to hear that :( What happened? I'm here for you if you wanna talk
lonely,Nice! What kind of pizza was it?
lonely,That is bad. I hope you will find something interesting to do.
anxious,Yeah I hate that too
anxious,Going on roller coasters makes me so nervous. I can't stand the feeling in my chest on the comedown.
anxious,ha ha i understand its creepy but then again my mother kept her mothers glass eyeball so i guess nothing would surprise me anymore! 
anxious,She's a cool chick. Phyiscally_comma_ no.   If she lost a lot of weight I'd probably date her.
anxious,If you have someone with you cards are great. Good luck in your next storm!
anxious,Really looking forward to tomorrow night!
anxious,Lol! Ah- Well cherish them while you can in the summers even though it can be tiring :)
anxious,I hope they come back with the desired result.  Good luck
anxious,i am trying but it's really hard to do when you are a single income household
anxious,Kids are going to my sisters for the weekend. I can't wait
devastated,He actually passed away - his body went into a medical coma and we had to pull the ventilator. 
devastated,No. In area where I am_comma_ houses are not supposed to get flooded. That is terrible.
devastated,I'm going to go buy another asap!
devastated,Im sure they can figure something out. They might be able to remove the harddrive to recover the photos.
devastated,In previous job_comma_ I was laid off. I felt like everything around me was failling apart. I felt terrible bad and cried.
devastated,my food that was delvered was deliverd incorrect_comma_ but by the time it got here the restraunt was already close.
devastated,I probably would not chop his tree down.  You want to have the moral high ground.  But yes I would confront him
devastated,Oh man. That's too bad. Still not fair.
devastated,I have to pay out of pocket for school now. Its gonna take forever
devastated,We had a house fire last year that destroyed everything _comma_ it was very tough on my family
