emotion,prompt
sad,Do you watch Orange is the New Black? I was sad when I saw it.
sad,The vet told me my cat only has a few weeks left to live.
sad,The anniversaries for my Daddy and my sisters passings are coming up this month.
sad,I got some bad news yesterday...my grandmother was admitted to the hospital for cancer.
sad,My hamster died yesterday. I am so distraught!
sad,ive been losing a lot of weight but i gained a bit this summer.
sad,My dog died 5 minutes ago. I am so distraught.
sad,Life doesn't always turn out how you expect it to be. 
sad,I cant stop thinking about my grandmother. She passed away recently and it hurts to think about.
sad,I am upset Brian Lawyer died.
afraid,My neighbor is a drug addict. I hear him talking alone and I see him having weird behavior.
afraid,Last year my friends made me go to a haunted house and they all laughed at me afterwards
afraid,I really do like worms.
afraid,I was always so afraid to go to sleep when I was a little kid...Always thought there were spooky monsters under the bed.
afraid,They always come out at night
afraid,I woke last night with noises at the window.
afraid,My fiance found a snake in our yard the other day! It was terrifying!
afraid,Our home was broken into recently.
afraid,I am worried that my neighbor is starving his dogs.
afraid,I was so scared.  I was at a graveyard in the dark with my drunk boyfriend.
angry,So the other day while parked on the street someone hit my car and drove away!
angry,I think me and my ex are broken up for good.
angry,I ordered a package and had to stay home to sign for it and the mailman drove past my house and didn't deliver it.
angry,I am upset that my partner has put me through so much..and now going through more while he is away and trying to get treatment.
angry,I'm pretty upset I got a flat on the way to work today.
angry,The other day my cat vomited on my best shoes and it really made me mad.
angry,I was supposed to close on my house this weekend_comma_ but the people are refusing to move out!
angry, I told my neighbor multiple times to stop their dog from barking. They leave it outside the entire day and most of the night! 
angry,I am super ticked at people who just want to make everything upsetting for everyone else. 
angry,Someone took my phone when I was at work.
disappointed,My cat vomited on my shoes the other day and i had to clean it
disappointed,My ex boyfriend just won't move on. Its sad
disappointed,god_comma_ im at the lowest point i've ever been in my life
disappointed,I loaned my friend a good bit of money_comma_ but he does not seem to be in any rush to pay me back
disappointed,my friend cancelled on me last minute
disappointed,I failed my accounting class over the summer. I now have to retake it setting me back a little. Im a little bummed out.
disappointed,My birthday was last week.  It was a really upsetting day.  
disappointed,I really wish I had been able to finish that project yesterday.
disappointed,I am sad some people I like are such bully's to others. It's a real big turn off. 
disappointed,I'm disappointed in my new car_comma_ it has already broken down twice and now it's in the shop!
embarrassed,One day I went to school with a stain on my pants and I didn't realize it. I didn't find it until I came home. 
embarrassed,I was walking and leaned down and ripped my pants
embarrassed,Went to a friends getty the other week after a long opening to closing shift at work and had too many drinks and ended up peeing myself and blacking out!
embarrassed,I stole alcohol from my dad and was caught and decided to lie instead of confessing. I'm ashamed.
embarrassed,You'll never believe what I did today.
embarrassed,I was playing with football with my two nephews_comma_ just throwing the ball around_comma_ and I threw the ball too high and hard for my younger nephew. It sailed past him and nailed the neighbor's car behind him_comma_ and left a dent in the door. I felt so stupid having to go up to their house and tell them what happened..
embarrassed,I misunderstood what someone said to me at work today. I thought they said something offensive_comma_ and I reacted immediately. It turns out they said a different word. I felt mortified and kept apologizing profusely
embarrassed,I was on a flight earlier in the week_comma_ listening to music. I thought my earbuds were plugged into my iPod correctly so that only I could hear the music.. turns out it wasn't_comma_ and everyone could hear it on speaker the entire time. I just assumed it was hard to hear because of the loud plane.. nope. People listened to my death metal with me for two hours and said nothing.
embarrassed,I forgot what I was saying during my speech at work.
embarrassed,I had to give a big presentation at work today. I prepared really hard for it. Unfortunatley when it became time for me to present I got really nervous and just froze up.
lonely,I fed some dead bodies to pigs.
lonely,She felt so left out
lonely,Family is out of town for the week and I don't know what to do with myself.
lonely,I was very sad when my company had left me alone the other day.
lonely,I divorced my wife_comma_ I have no one to be with now.
lonely,I just arrived in a new country after traveling for two months. There arent many people in the new place I am staying. I am starting miss my friends and home.
lonely,I feel pretty alone when nobody is home.
lonely,I recently made a move across states for work_comma_ but am having trouble meeting new friends out here.
lonely,My dog died_comma_ I feel so lonely
lonely,Me and my girlfriend broke up yesterday.
anxious,I was so nervous and ready to start my move. It was such a long drive. 
anxious,I am worried I won't wake up to my alarm
anxious,Sorry to cut that short_comma_ but I have to send an email to a company I really want to work for today and I don't want to mess it up. 
anxious,I am watching old episodes of game of thrones right now
anxious,tomorrow we find out if we are having a baby boy or girl
anxious,I am scared of how work is going to go_comma_ it is the start of our busiest period of the year
anxious,I am scared about my upcoming job interview_comma_ I get really nervous about this type of thing
anxious,I was scared when my dad was in the hospital. It just made me worry
anxious,Im starting my new job in 2 weeks and counting day every last second! 
anxious,my job interview coming up has me pretty nervous. I keep thinking about it.
devastated,i was crushed when i didnt get approved for a day off last week
devastated,I have been trying to purchase a car but my credit is so bad. I even tried to repair it but to no avail.
devastated,I have two uncles and they both died within 3 months of each otehr
devastated,I was devestated when my grandmother passed away_comma_ I was not prepared to deal with that
devastated,I received a call that my friend was dead_comma_  when I was in an occasion 
devastated,When my brother fell ill we had no idea he would go so quick.
devastated,I had this amazing toy truck as a kid and accidentally broke it
devastated,My friend lost his brother recently and it was so sad
devastated,I cant believe it_comma_ 3rd try and stilla  fail.
devastated,My husband was in an accident a couple of years ago. A van pulled out in front of him. A woman we knew was in it and she passed away.
