response,emotional_acknowledgment,contextual_grounding,emotional_validation,supportive_intent,generic_empathy,emotional_overclaim,functional_empathy,eliza_risk,final_score
"I haven't seen it, but I know a lot of people like it.  Sounds good, were you said throughout the series or because of an ending? I appreciate that! I wish I had watched it so you could talk more about it. ",0.8,0.6,0.8,0.9,0.7,0.0,0.775,-0.40113428494794595,1.176134284947946
Thats so terrible! :( Im really sorry... you should do something special everyday and make memories!  It really doesnt.. i had to put my dog to sleep and it was extremely painful. I really hope that he can rest without pain and that you can feel better soon.. ,0.8,0.9,0.7,0.9,0.6,0.2,0.8250000000000001,-0.40113428494794595,1.226134284947946
"Sorry to hear.  Will you be planning anything special? If you have other family member around you, ask around and get everyone involved.  It should be nice.",0.8,0.4,0.6,0.8,0.4,0.0,0.6500000000000001,-0.421899005250008,1.0718990052500081
Sorry for the bad news. I know she will make it.,0.8,0.6,0.8,0.9,0.4,0.0,0.775,-0.5190218338982221,1.2940218338982221
"oh no! I bet your so sad right now. im sorry for your loss I know it can be upsetting and sad, but take your time. It will be ok. ",0.8,0.9,0.8,0.9,0.7,0.2,0.85,-0.3799489622552249,1.2299489622552249
I am sorry to hear that.Following a diet is very stresffull. You probably need to get more motivated.,0.8,0.4,0.2,0.2,0.6,0.6,0.4,0.19737532022490395,0.20262467977509607
"That is a real bummer. Maybe you should take some time to reflect on their life. Yeah, no need to talk to me about it right now. Think about all the good times you had together.",0.8,0.4,0.2,0.6,0.8,0.0,0.5,-0.09966799462495579,0.5996679946249558
"I understand.  Tell me about it. Yes, one day at a time.",0.8,0.6,0.8,0.9,0.4,0.0,0.775,-0.5190218338982221,1.2940218338982221
I'm sorry to hear that. I lost mine recently also. That must be hard. ,0.9,0.8,0.7,0.9,0.6,0.0,0.8250000000000001,-0.48154979836430806,1.3065497983643082
"Oh that's horrible. Who's Brian Lawyer? I've never heard of him, but that sucks. How'd he die? Oh wow that's horrible.",0.8,0.2,0.8,0.6,0.4,0.0,0.6,-0.37994896225522484,0.9799489622552249
"Well, you should call 911. He might be dangerous anytime for the people in the surroundings you ought to be careful",0.0,0.8,0.0,0.0,0.0,0.0,0.2,-0.197375320224904,0.397375320224904
"Oh boy, did you embarrass yourself by getting real scared? That's something that's easy to laugh about after the fact but I bet you were running for your life when it happened! Haha",0.2,0.6,0.4,0.2,0.4,0.8,0.35000000000000003,0.2449186624037092,0.10508133759629085
I think some kids go through that. Did your parents comfort you? Oh no. Did you get much sleep as a kid at all?,0.5,0.8,0.2,0.7,0.3,0.0,0.55,-0.3799489622552249,0.9299489622552249
There are so many things that come out at night. What are you referring to? They come out in the daytime too. It's just that they are scarier at night.,0.5,0.8,0.7,0.6,0.4,0.0,0.65,-0.4218990052500079,1.071899005250008
Scary! Did you figure out what it was? Wow I'm glad it wasn't something scary lol,0.8,0.6,0.8,0.9,0.4,0.2,0.775,-0.44223035604572614,1.217230356045726
"Wow, that is scary. Did you guys do anything or just stay away from it? Yes, I'd be very concerned about pets, too.  I'm glad your fiance got it before it caused anyone anymore trouble.",0.8,0.9,0.7,0.9,0.6,0.0,0.8250000000000001,-0.48154979836430806,1.3065497983643082
Oh no! Were you home when it happened? I'm so glad you weren't there but I still hate to hear it. Did they take anything valuable?,0.8,0.9,0.7,0.9,0.6,0.0,0.8250000000000001,-0.48154979836430806,1.3065497983643082
"That's no good. Are you going to report him to the police? Yeah, mentally ill people shouldn't even be allowed to have dogs. There should be a screening process.",0.0,0.2,0.0,0.0,0.0,0.8,0.05,0.33637554433633227,-0.2863755443363323
"Oh no, how did you end up in that situation. Haha, that's awesome, at least you two made it out of it safely.",0.8,0.6,0.4,0.8,0.4,0.2,0.6499999999999999,-0.3363755443363321,0.986375544336332
"Oh no, that's messed up! Hopefully your insurance will help out.",0.8,0.6,0.4,0.8,0.4,0.0,0.6499999999999999,-0.42189900525000784,1.0718990052500077
"I see, is that a good thing or bad thing for you? Sorry to hear that. Well yeah, maybe it's for the best",0.8,0.6,0.4,0.8,0.6,0.2,0.6499999999999999,-0.24491866240370902,0.8949186624037089
"Wow, did he forget your address? Wow, that is really nice",0.5,0.5,0.5,0.5,0.5,0.0,0.5,-0.24491866240370913,0.7449186624037092
